4.5797e-05	6.272	1.7873e-08	0.143
3.4568e-05	91.394	3.5691e-08	0.724
2.8774e-06	16.384	2.0687e-08	1.28
3.6439e-06	44.288	2.463e-08	1.864
1.5e-07	0.62	-999.0	-999.0
7.5911e-06	6.4	3.0751e-08	0.389
6.9511e-06	61.441	4.1527e-08	2.111
1.4939e-05	109.826	4.3425e-08	0.81
4.9571e-06	13.374	4.4406e-08	0.602
6.3164e-06	105.472	4.1782e-08	2.757
3.6396e-06	117.955	7.4646e-08	3.84
4.2677e-05	19.456	2.0769e-08	0.362
1.1132e-07	0.128	1.5417e-08	0.181
7.9577e-07	1.408	6.0683e-08	0.802
2.5116e-06	6.848	2.7225e-08	0.668
5.2992e-05	165.635	5.8764e-08	1.28
9.5267e-06	13.312	2.3765e-08	0.362
5.9128e-06	16.384	3.6524e-08	1.557
1.1089e-05	123.906	5.8169e-08	2.29
2e-06	30.86	-999.0	-999.0
1.2591e-05	32.001	2.8108e-08	0.81
7.7004e-05	88.577	4.9681e-08	0.923
1.5612e-05	271.108	7.9476e-08	2.611
0.00010017	3.968	4.2308e-08	0.091
3.0957e-06	1.92	1.7745e-08	0.326
1.0032e-05	36.126	3.2157e-08	0.586
2.1e-05	160.67	-999.0	-999.0
1.9499e-06	1.408	4.2765e-08	1.154
1.696e-05	94.978	1.3521e-07	3.557
6.5656e-06	82.176	4.7327e-08	4.128
4.9914e-06	37.633	4.8235e-08	2.828
4.6524e-07	5.376	2.7906e-08	2.919
4.9464e-05	47.105	3.0197e-08	0.362
0.00055189	54.017	1.1126e-07	0.362
5.9323e-05	16.128	7.8989e-08	0.572
1.4e-06	7.47	-999.0	-999.0
7.4027e-06	5.76	5.0124e-08	0.572
2.3e-06	0.67	-999.0	-999.0
3.4e-06	34.08	-999.0	-999.0
8.1665e-08	0.048	1.471e-08	2.416
3.6981e-06	9.981	1.7908e-08	0.64
0.00027987	3.264	2.5309e-07	0.091
9.1265e-06	18.88	2.0254e-08	1.619
1.3e-06	38.05	-999.0	-999.0
0.0031475	34.561	2.5734e-07	0.572
1.6e-07	2.3	-999.0	-999.0
7.1478e-05	216.068	3.5737e-08	0.572
8.12e-07	41.0	-999.0	-999.0
