1.36	6.272	12.857	0.143
2.627	91.394	95.582	0.724
1.847	16.384	16.384	1.28
2.823	44.288	44.288	1.864
0.42	0.62	0.62	-999.0
1.898	6.4	7.703	0.389
3.315	61.441	61.441	2.111
0.95	109.826	113.245	0.81
4.61	13.374	14.318	0.602
3.55	105.472	105.472	2.757
4.01	117.955	117.955	3.84
2.674	19.456	21.447	0.362
1.137	0.128	0.226	0.181
2.702	1.408	1.554	0.802
2.82	6.848	7.048	0.668
1.411	165.635	186.954	1.28
1.072	13.312	14.178	0.362
2.79	16.384	16.988	1.557
4.2	123.906	128.124	2.29
0.977	30.86	30.86	-999.0
2.61	32.001	33.541	0.81
1.234	88.577	108.86	0.923
1.46	271.108	273.114	2.611
0.659	3.968	6.205	0.091
0.238	1.92	2.522	0.326
0.3965	36.126	38.928	0.586
2.695	160.67	566.841	-999.0
0.0579	1.408	1.408	1.154
0.416	94.978	182.566	3.557
1.833	82.176	82.176	4.128
6.782	37.633	66.93	2.828
0.15	5.376	5.376	2.919
0.824	47.105	51.322	0.362
0.68	54.017	99.77	0.362
2.305	16.128	27.94	0.572
3.13	7.47	7.47	-999.0
0.8304	5.76	41.63	0.572
0.257	0.67	0.744	-999.0
1.39	34.08	34.08	-999.0
0.0647	0.048	0.048	2.416
2.42	9.981	11.357	0.64
0.36	3.264	3.698	0.091
0.09	18.88	20.44	1.619
1.664	38.05	38.05	-999.0
0.065	34.561	37.473	0.572
0.4703	2.3	2.3	-999.0
2.142	216.068	219.396	0.572
3.81	41.0	41.0	-999.0
2.694	4.864	5.027	2.828
4.06	8.98	8.98	-999.0
0.151	325.831	4266.4	6.785
3.084	136.706	181.593	1.28
1.2049	57.0	57.0	-999.0
0.857	10.496	13.121	0.362
5.6	13.568	14.871	3.899
0.53	0.448	0.941	0.466
4.961	49.81	49.81	-999.0
1.246	33.025	34.72	0.572
4.618	128.259	173.36	15.792
0.228	83.79	83.79	-999.0
0.108	34.305	51.37	0.572
2.272	3.73	3.73	-999.0
1.1137	603.5	603.5	-999.0
0.6607	1.3	1.3	-999.0
0.39	79.874	134.321	0.572
0.64	123.906	128.334	0.362
0.2411	0.16	0.16	-999.0
0.05	19.712	20.385	1.145
1.736	180.8	180.8	-999.0
1.2525	25.857	27.852	5.278
0.35	0.39	0.39	-999.0
1.145	61.953	61.953	11.337
1.27	4.672	8.766	0.181
1.937	54.785	60.9	0.572
1.13	55.041	91.33	0.724
3.54	8.192	17.199	2.064
3.54	11.008	11.008	5.184
2.486	3.06	3.06	-999.0
0.221	1.344	1.982	0.792
2.077	135.06	135.06	-999.0
1.4	158.8	158.8	-999.0
2.826	12.8	12.8	-999.0
0.42	0.96	4.692	0.781
1.487	8.21	8.21	-999.0
2.198	12.82	12.82	-999.0
0.715	6.6	6.6	-999.0
1.171	206.852	243.349	2.29
2.0	107.6	107.6	-999.0
0.92	31.745	33.123	0.572
1.046	0.144	0.439	0.066
5.7	44.5	44.5	-999.0
1.1	29.953	54.0	0.572
1.105	40.448	40.448	4.048
1.954	8.66	8.66	-999.0
0.999	5.0	5.0	-999.0
1.07	35.328	35.328	2.202
0.804	15.872	18.505	0.362
2.903	21.504	25.834	3.114
0.426	9.78	9.78	-999.0
4.56	36.2	36.2	-999.0
1.25	6.912	92.38	0.362
0.7481	1.136	1.739	0.132
0.73	30.464	30.464	2.919
1.2268	478.026	481.888	3.168
1.256	37.761	38.465	6.209
1.148	48.0	51.353	-999.0
0.248	64.35	64.35	-999.0
1.722	25.088	25.088	4.352
3.503	37.7	37.7	-999.0
0.0785	59.393	109.8	0.572
